,website,dtg,date,year,month,day,category_name,item,count,short_date
0,sneakernews.com,2019-11-22 20:08:21.714852,2019-11-22,2019,11,22,Nike,Nike,10,2019-11-22
1,sneakernews.com,2019-11-22 20:08:29.797102,2019-11-22,2019,11,22,Nike,Jordan,18,2019-11-22
2,sneakernews.com,2019-11-22 20:08:30.870703,2019-11-22,2019,11,22,Nike,Converse,2,2019-11-22
3,sneakernews.com,2019-11-22 20:08:30.877892,2019-11-22,2019,11,22,Adidas,Adidas,0,2019-11-22
4,sneakernews.com,2019-11-22 20:08:30.887197,2019-11-22,2019,11,22,Adidas,Reebok,3,2019-11-22
5,sneakernews.com,2019-11-22 20:08:30.893176,2019-11-22,2019,11,22,Adidas,ADIDAS,0,2019-11-22
6,sneakernews.com,2019-11-22 20:08:30.899755,2019-11-22,2019,11,22,Adidas,Yeezy,10,2019-11-22
7,sneakernews.com,2019-11-22 20:08:30.906742,2019-11-22,2019,11,22,Adidas,Kanye,0,2019-11-22
8,sneakernews.com,2019-11-22 20:08:30.913648,2019-11-22,2019,11,22,Adidas,adidas,11,2019-11-22
9,sneakernews.com,2019-11-22 20:08:30.921105,2019-11-22,2019,11,22,Adidas,kanye,0,2019-11-22
10,sneakernews.com,2019-11-22 20:08:30.928111,2019-11-22,2019,11,22,Adidas,yeezy,0,2019-11-22
11,sneakernews.com,2019-11-22 20:08:30.934591,2019-11-22,2019,11,22,New Balance,New Balance,2,2019-11-22
12,sneakernews.com,2019-11-22 20:08:30.941454,2019-11-22,2019,11,22,New Balance,NB,0,2019-11-22
13,sneakernews.com,2019-11-22 20:08:30.948026,2019-11-22,2019,11,22,New Balance,new balance,0,2019-11-22
14,sneakernews.com,2019-11-22 20:08:30.953703,2019-11-22,2019,11,22,Puma,Puma,2,2019-11-22
15,sneakernews.com,2019-11-22 20:08:30.959712,2019-11-22,2019,11,22,Puma,puma,0,2019-11-22
16,sneakernews.com,2019-11-22 20:08:30.965889,2019-11-22,2019,11,22,Vans,Vans,2,2019-11-22
17,sneakernews.com,2019-11-22 20:08:30.972281,2019-11-22,2019,11,22,Vans,vans,0,2019-11-22
0,Solecollector.com,2019-11-22 20:08:44.137810,2019-11-22,2019,11,22,Nike,Nike,7,2019-11-22
1,Solecollector.com,2019-11-22 20:08:44.143580,2019-11-22,2019,11,22,Nike,Jordan,4,2019-11-22
2,Solecollector.com,2019-11-22 20:08:44.150518,2019-11-22,2019,11,22,Nike,Converse,0,2019-11-22
3,Solecollector.com,2019-11-22 20:08:44.156868,2019-11-22,2019,11,22,Adidas,Adidas,1,2019-11-22
4,Solecollector.com,2019-11-22 20:08:44.162870,2019-11-22,2019,11,22,Adidas,Reebok,3,2019-11-22
5,Solecollector.com,2019-11-22 20:08:44.169402,2019-11-22,2019,11,22,Adidas,ADIDAS,0,2019-11-22
6,Solecollector.com,2019-11-22 20:08:44.176111,2019-11-22,2019,11,22,Adidas,Yeezy,0,2019-11-22
7,Solecollector.com,2019-11-22 20:08:44.181306,2019-11-22,2019,11,22,Adidas,Kanye,0,2019-11-22
8,Solecollector.com,2019-11-22 20:08:44.188619,2019-11-22,2019,11,22,Adidas,adidas,0,2019-11-22
9,Solecollector.com,2019-11-22 20:08:44.194962,2019-11-22,2019,11,22,Adidas,kanye,0,2019-11-22
10,Solecollector.com,2019-11-22 20:08:44.201410,2019-11-22,2019,11,22,Adidas,yeezy,0,2019-11-22
11,Solecollector.com,2019-11-22 20:08:44.208403,2019-11-22,2019,11,22,New Balance,New Balance,0,2019-11-22
12,Solecollector.com,2019-11-22 20:08:44.214723,2019-11-22,2019,11,22,New Balance,NB,0,2019-11-22
13,Solecollector.com,2019-11-22 20:08:44.221430,2019-11-22,2019,11,22,New Balance,new balance,0,2019-11-22
14,Solecollector.com,2019-11-22 20:08:44.230371,2019-11-22,2019,11,22,Puma,Puma,1,2019-11-22
15,Solecollector.com,2019-11-22 20:08:44.237527,2019-11-22,2019,11,22,Puma,puma,0,2019-11-22
