,website,dtg,date,year,month,day,category_name,item,count,short_date
0,sneakernews.com,2020-02-12 13:27:23.530697,2020-02-12,2020,2,12,Nike,nike,7,2020-02-12
1,sneakernews.com,2020-02-12 13:27:23.537333,2020-02-12,2020,2,12,Nike,jordan,21,2020-02-12
2,sneakernews.com,2020-02-12 13:27:23.541069,2020-02-12,2020,2,12,Nike,converse,5,2020-02-12
3,sneakernews.com,2020-02-12 13:27:23.544326,2020-02-12,2020,2,12,Adidas,adidas,9,2020-02-12
4,sneakernews.com,2020-02-12 13:27:23.547633,2020-02-12,2020,2,12,Adidas,reebok,2,2020-02-12
5,sneakernews.com,2020-02-12 13:27:23.551281,2020-02-12,2020,2,12,Adidas,adidas,9,2020-02-12
6,sneakernews.com,2020-02-12 13:27:23.554483,2020-02-12,2020,2,12,Adidas,kanye,0,2020-02-12
7,sneakernews.com,2020-02-12 13:27:23.557701,2020-02-12,2020,2,12,Adidas,yeezy,6,2020-02-12
8,sneakernews.com,2020-02-12 13:27:23.560942,2020-02-12,2020,2,12,New Balance,NB,0,2020-02-12
9,sneakernews.com,2020-02-12 13:27:23.564244,2020-02-12,2020,2,12,New Balance,new balance,2,2020-02-12
10,sneakernews.com,2020-02-12 13:27:23.567502,2020-02-12,2020,2,12,Puma,Puma,0,2020-02-12
11,sneakernews.com,2020-02-12 13:27:23.570846,2020-02-12,2020,2,12,Puma,puma,2,2020-02-12
12,sneakernews.com,2020-02-12 13:27:23.574138,2020-02-12,2020,2,12,Vans,Vans,0,2020-02-12
13,sneakernews.com,2020-02-12 13:27:23.577396,2020-02-12,2020,2,12,Vans,vans,2,2020-02-12
0,Solecollector.com,2020-02-12 13:27:24.859619,2020-02-12,2020,2,12,Nike,nike,6,2020-02-12
1,Solecollector.com,2020-02-12 13:27:24.863211,2020-02-12,2020,2,12,Nike,jordan,6,2020-02-12
2,Solecollector.com,2020-02-12 13:27:24.866497,2020-02-12,2020,2,12,Nike,converse,0,2020-02-12
3,Solecollector.com,2020-02-12 13:27:24.869916,2020-02-12,2020,2,12,Adidas,adidas,1,2020-02-12
4,Solecollector.com,2020-02-12 13:27:24.873210,2020-02-12,2020,2,12,Adidas,reebok,1,2020-02-12
5,Solecollector.com,2020-02-12 13:27:24.876582,2020-02-12,2020,2,12,Adidas,adidas,1,2020-02-12
6,Solecollector.com,2020-02-12 13:27:24.879899,2020-02-12,2020,2,12,Adidas,kanye,0,2020-02-12
7,Solecollector.com,2020-02-12 13:27:24.883410,2020-02-12,2020,2,12,Adidas,yeezy,0,2020-02-12
8,Solecollector.com,2020-02-12 13:27:24.886663,2020-02-12,2020,2,12,New Balance,NB,0,2020-02-12
9,Solecollector.com,2020-02-12 13:27:24.890033,2020-02-12,2020,2,12,New Balance,new balance,0,2020-02-12
10,Solecollector.com,2020-02-12 13:27:24.893283,2020-02-12,2020,2,12,Puma,Puma,0,2020-02-12
11,Solecollector.com,2020-02-12 13:27:24.897757,2020-02-12,2020,2,12,Puma,puma,1,2020-02-12
12,Solecollector.com,2020-02-12 13:27:24.901025,2020-02-12,2020,2,12,Vans,Vans,0,2020-02-12
13,Solecollector.com,2020-02-12 13:27:24.904352,2020-02-12,2020,2,12,Vans,vans,0,2020-02-12
0,hypebeast.com,2020-02-12 13:27:26.607577,2020-02-12,2020,2,12,Nike,nike,4,2020-02-12
1,hypebeast.com,2020-02-12 13:27:26.614729,2020-02-12,2020,2,12,Nike,jordan,1,2020-02-12
2,hypebeast.com,2020-02-12 13:27:26.619158,2020-02-12,2020,2,12,Nike,converse,1,2020-02-12
3,hypebeast.com,2020-02-12 13:27:26.623053,2020-02-12,2020,2,12,Adidas,adidas,2,2020-02-12
4,hypebeast.com,2020-02-12 13:27:26.626687,2020-02-12,2020,2,12,Adidas,reebok,0,2020-02-12
5,hypebeast.com,2020-02-12 13:27:26.630545,2020-02-12,2020,2,12,Adidas,adidas,2,2020-02-12
6,hypebeast.com,2020-02-12 13:27:26.634222,2020-02-12,2020,2,12,Adidas,kanye,1,2020-02-12
7,hypebeast.com,2020-02-12 13:27:26.637712,2020-02-12,2020,2,12,Adidas,yeezy,0,2020-02-12
8,hypebeast.com,2020-02-12 13:27:26.641260,2020-02-12,2020,2,12,New Balance,NB,0,2020-02-12
9,hypebeast.com,2020-02-12 13:27:26.644864,2020-02-12,2020,2,12,New Balance,new balance,0,2020-02-12
10,hypebeast.com,2020-02-12 13:27:26.648690,2020-02-12,2020,2,12,Puma,Puma,0,2020-02-12
11,hypebeast.com,2020-02-12 13:27:26.652313,2020-02-12,2020,2,12,Puma,puma,1,2020-02-12
12,hypebeast.com,2020-02-12 13:27:26.656096,2020-02-12,2020,2,12,Vans,Vans,0,2020-02-12
13,hypebeast.com,2020-02-12 13:27:26.659600,2020-02-12,2020,2,12,Vans,vans,0,2020-02-12
