,brand,category_name,count,date,day,dtg,item,month,shoe_company,website,year,short_date
0,,Nike,8,2020-03-21,21,2020-03-21 17:18:58.457206,nike,3,,sneakernews.com,2020,2020-03-21
1,,Nike,21,2020-03-21,21,2020-03-21 17:18:58.463531,jordan,3,,sneakernews.com,2020,2020-03-21
2,,Nike,2,2020-03-21,21,2020-03-21 17:18:58.467233,converse,3,,sneakernews.com,2020,2020-03-21
3,,Adidas,10,2020-03-21,21,2020-03-21 17:18:58.470659,adidas,3,,sneakernews.com,2020,2020-03-21
4,,Adidas,3,2020-03-21,21,2020-03-21 17:18:58.474083,reebok,3,,sneakernews.com,2020,2020-03-21
5,,Adidas,10,2020-03-21,21,2020-03-21 17:18:58.477659,adidas,3,,sneakernews.com,2020,2020-03-21
6,,Adidas,0,2020-03-21,21,2020-03-21 17:18:58.481037,kanye,3,,sneakernews.com,2020,2020-03-21
7,,Adidas,8,2020-03-21,21,2020-03-21 17:18:58.484535,yeezy,3,,sneakernews.com,2020,2020-03-21
8,,New Balance,0,2020-03-21,21,2020-03-21 17:18:58.488012,NB,3,,sneakernews.com,2020,2020-03-21
9,,New Balance,2,2020-03-21,21,2020-03-21 17:18:58.491463,new balance,3,,sneakernews.com,2020,2020-03-21
10,,Puma,0,2020-03-21,21,2020-03-21 17:18:58.494930,Puma,3,,sneakernews.com,2020,2020-03-21
11,,Puma,2,2020-03-21,21,2020-03-21 17:18:58.498378,puma,3,,sneakernews.com,2020,2020-03-21
12,,Vans,0,2020-03-21,21,2020-03-21 17:18:58.501857,Vans,3,,sneakernews.com,2020,2020-03-21
13,,Vans,2,2020-03-21,21,2020-03-21 17:18:58.505283,vans,3,,sneakernews.com,2020,2020-03-21
0,,Nike,2,2020-03-21,21,2020-03-21 17:19:00.096208,nike,3,,Solecollector.com,2020,2020-03-21
1,,Nike,5,2020-03-21,21,2020-03-21 17:19:00.101348,jordan,3,,Solecollector.com,2020,2020-03-21
2,,Nike,0,2020-03-21,21,2020-03-21 17:19:00.111363,converse,3,,Solecollector.com,2020,2020-03-21
3,,Adidas,5,2020-03-21,21,2020-03-21 17:19:00.116793,adidas,3,,Solecollector.com,2020,2020-03-21
4,,Adidas,1,2020-03-21,21,2020-03-21 17:19:00.122056,reebok,3,,Solecollector.com,2020,2020-03-21
5,,Adidas,5,2020-03-21,21,2020-03-21 17:19:00.127733,adidas,3,,Solecollector.com,2020,2020-03-21
6,,Adidas,0,2020-03-21,21,2020-03-21 17:19:00.133163,kanye,3,,Solecollector.com,2020,2020-03-21
7,,Adidas,4,2020-03-21,21,2020-03-21 17:19:00.139319,yeezy,3,,Solecollector.com,2020,2020-03-21
8,,New Balance,0,2020-03-21,21,2020-03-21 17:19:00.145199,NB,3,,Solecollector.com,2020,2020-03-21
9,,New Balance,0,2020-03-21,21,2020-03-21 17:19:00.150733,new balance,3,,Solecollector.com,2020,2020-03-21
10,,Puma,0,2020-03-21,21,2020-03-21 17:19:00.156159,Puma,3,,Solecollector.com,2020,2020-03-21
11,,Puma,1,2020-03-21,21,2020-03-21 17:19:00.161838,puma,3,,Solecollector.com,2020,2020-03-21
12,,Vans,0,2020-03-21,21,2020-03-21 17:19:00.167061,Vans,3,,Solecollector.com,2020,2020-03-21
13,,Vans,0,2020-03-21,21,2020-03-21 17:19:00.172197,vans,3,,Solecollector.com,2020,2020-03-21
0,nike,,4,2020-03-22,22,2020-03-22 10:10:47.991844,,3,Nike,hypebeast.com,2020,2020-03-22
1,jordan,,0,2020-03-22,22,2020-03-22 10:10:47.996429,,3,Nike,hypebeast.com,2020,2020-03-22
2,converse,,1,2020-03-22,22,2020-03-22 10:10:48.000513,,3,Nike,hypebeast.com,2020,2020-03-22
3,adidas,,1,2020-03-22,22,2020-03-22 10:10:48.005016,,3,Adidas,hypebeast.com,2020,2020-03-22
4,reebok,,0,2020-03-22,22,2020-03-22 10:10:48.009281,,3,Adidas,hypebeast.com,2020,2020-03-22
5,adidas,,1,2020-03-22,22,2020-03-22 10:10:48.013268,,3,Adidas,hypebeast.com,2020,2020-03-22
6,kanye,,0,2020-03-22,22,2020-03-22 10:10:48.016760,,3,Adidas,hypebeast.com,2020,2020-03-22
7,yeezy,,0,2020-03-22,22,2020-03-22 10:10:48.020428,,3,Adidas,hypebeast.com,2020,2020-03-22
8,NB,,0,2020-03-22,22,2020-03-22 10:10:48.023992,,3,New Balance,hypebeast.com,2020,2020-03-22
9,new balance,,0,2020-03-22,22,2020-03-22 10:10:48.027496,,3,New Balance,hypebeast.com,2020,2020-03-22
10,Puma,,0,2020-03-22,22,2020-03-22 10:10:48.031217,,3,Puma,hypebeast.com,2020,2020-03-22
11,puma,,1,2020-03-22,22,2020-03-22 10:10:48.034799,,3,Puma,hypebeast.com,2020,2020-03-22
12,Vans,,0,2020-03-22,22,2020-03-22 10:10:48.038440,,3,Vans,hypebeast.com,2020,2020-03-22
13,vans,,0,2020-03-22,22,2020-03-22 10:10:48.041848,,3,Vans,hypebeast.com,2020,2020-03-22
