,website,dtg,date,year,month,day,shoe_company,brand,count,short_date
0,sneakernews.com,2020-11-17 18:07:29.184812,2020-11-17,2020,11,17,Nike,nike,8,2020-11-17
1,sneakernews.com,2020-11-17 18:07:29.190480,2020-11-17,2020,11,17,Nike,jordan,26,2020-11-17
2,sneakernews.com,2020-11-17 18:07:29.194642,2020-11-17,2020,11,17,Nike,converse,2,2020-11-17
3,sneakernews.com,2020-11-17 18:07:29.198734,2020-11-17,2020,11,17,Adidas,adidas,8,2020-11-17
4,sneakernews.com,2020-11-17 18:07:29.202564,2020-11-17,2020,11,17,Adidas,reebok,2,2020-11-17
5,sneakernews.com,2020-11-17 18:07:29.206800,2020-11-17,2020,11,17,Adidas,adidas,8,2020-11-17
6,sneakernews.com,2020-11-17 18:07:29.210563,2020-11-17,2020,11,17,Adidas,kanye,0,2020-11-17
7,sneakernews.com,2020-11-17 18:07:29.214374,2020-11-17,2020,11,17,Adidas,yeezy,5,2020-11-17
8,sneakernews.com,2020-11-17 18:07:29.220613,2020-11-17,2020,11,17,New Balance,NB,0,2020-11-17
9,sneakernews.com,2020-11-17 18:07:29.224786,2020-11-17,2020,11,17,New Balance,new balance,2,2020-11-17
10,sneakernews.com,2020-11-17 18:07:29.228877,2020-11-17,2020,11,17,Puma,Puma,0,2020-11-17
11,sneakernews.com,2020-11-17 18:07:29.232814,2020-11-17,2020,11,17,Puma,puma,3,2020-11-17
12,sneakernews.com,2020-11-17 18:07:29.236975,2020-11-17,2020,11,17,Vans,Vans,0,2020-11-17
13,sneakernews.com,2020-11-17 18:07:29.240766,2020-11-17,2020,11,17,Vans,vans,2,2020-11-17
0,Solecollector.com,2020-11-17 18:07:31.186695,2020-11-17,2020,11,17,Nike,nike,8,2020-11-17
1,Solecollector.com,2020-11-17 18:07:31.194485,2020-11-17,2020,11,17,Nike,jordan,5,2020-11-17
2,Solecollector.com,2020-11-17 18:07:31.198425,2020-11-17,2020,11,17,Nike,converse,0,2020-11-17
3,Solecollector.com,2020-11-17 18:07:31.202465,2020-11-17,2020,11,17,Adidas,adidas,1,2020-11-17
4,Solecollector.com,2020-11-17 18:07:31.206416,2020-11-17,2020,11,17,Adidas,reebok,3,2020-11-17
5,Solecollector.com,2020-11-17 18:07:31.210405,2020-11-17,2020,11,17,Adidas,adidas,1,2020-11-17
6,Solecollector.com,2020-11-17 18:07:31.214255,2020-11-17,2020,11,17,Adidas,kanye,0,2020-11-17
7,Solecollector.com,2020-11-17 18:07:31.218130,2020-11-17,2020,11,17,Adidas,yeezy,0,2020-11-17
8,Solecollector.com,2020-11-17 18:07:31.222259,2020-11-17,2020,11,17,New Balance,NB,0,2020-11-17
9,Solecollector.com,2020-11-17 18:07:31.226240,2020-11-17,2020,11,17,New Balance,new balance,0,2020-11-17
10,Solecollector.com,2020-11-17 18:07:31.230295,2020-11-17,2020,11,17,Puma,Puma,0,2020-11-17
11,Solecollector.com,2020-11-17 18:07:31.234221,2020-11-17,2020,11,17,Puma,puma,1,2020-11-17
12,Solecollector.com,2020-11-17 18:07:31.238378,2020-11-17,2020,11,17,Vans,Vans,0,2020-11-17
13,Solecollector.com,2020-11-17 18:07:31.242870,2020-11-17,2020,11,17,Vans,vans,0,2020-11-17
0,hypebeast.com,2020-11-17 18:07:33.440846,2020-11-17,2020,11,17,Nike,nike,4,2020-11-17
1,hypebeast.com,2020-11-17 18:07:33.446205,2020-11-17,2020,11,17,Nike,jordan,5,2020-11-17
2,hypebeast.com,2020-11-17 18:07:33.451106,2020-11-17,2020,11,17,Nike,converse,1,2020-11-17
3,hypebeast.com,2020-11-17 18:07:33.455949,2020-11-17,2020,11,17,Adidas,adidas,0,2020-11-17
4,hypebeast.com,2020-11-17 18:07:33.460742,2020-11-17,2020,11,17,Adidas,reebok,1,2020-11-17
5,hypebeast.com,2020-11-17 18:07:33.465430,2020-11-17,2020,11,17,Adidas,adidas,0,2020-11-17
6,hypebeast.com,2020-11-17 18:07:33.474385,2020-11-17,2020,11,17,Adidas,kanye,0,2020-11-17
7,hypebeast.com,2020-11-17 18:07:33.479057,2020-11-17,2020,11,17,Adidas,yeezy,0,2020-11-17
8,hypebeast.com,2020-11-17 18:07:33.483813,2020-11-17,2020,11,17,New Balance,NB,0,2020-11-17
9,hypebeast.com,2020-11-17 18:07:33.488555,2020-11-17,2020,11,17,New Balance,new balance,0,2020-11-17
10,hypebeast.com,2020-11-17 18:07:33.493299,2020-11-17,2020,11,17,Puma,Puma,0,2020-11-17
11,hypebeast.com,2020-11-17 18:07:33.498133,2020-11-17,2020,11,17,Puma,puma,0,2020-11-17
12,hypebeast.com,2020-11-17 18:07:33.503046,2020-11-17,2020,11,17,Vans,Vans,0,2020-11-17
13,hypebeast.com,2020-11-17 18:07:33.507915,2020-11-17,2020,11,17,Vans,vans,0,2020-11-17
