,website,dtg,date,year,month,day,category_name,item,count,short_date
0,sneakernews.com,2020-02-06 16:44:29.718903,2020-02-06,2020,2,6,Nike,nike,10,2020-02-06
1,sneakernews.com,2020-02-06 16:44:29.722557,2020-02-06,2020,2,6,Nike,jordan,18,2020-02-06
2,sneakernews.com,2020-02-06 16:44:29.727687,2020-02-06,2020,2,6,Nike,converse,2,2020-02-06
3,sneakernews.com,2020-02-06 16:44:29.730957,2020-02-06,2020,2,6,Adidas,adidas,7,2020-02-06
4,sneakernews.com,2020-02-06 16:44:29.734249,2020-02-06,2020,2,6,Adidas,reebok,3,2020-02-06
5,sneakernews.com,2020-02-06 16:44:29.737560,2020-02-06,2020,2,6,Adidas,adidas,7,2020-02-06
6,sneakernews.com,2020-02-06 16:44:29.740918,2020-02-06,2020,2,6,Adidas,kanye,0,2020-02-06
7,sneakernews.com,2020-02-06 16:44:29.744269,2020-02-06,2020,2,6,Adidas,yeezy,5,2020-02-06
8,sneakernews.com,2020-02-06 16:44:29.747549,2020-02-06,2020,2,6,New Balance,NB,0,2020-02-06
9,sneakernews.com,2020-02-06 16:44:29.750972,2020-02-06,2020,2,6,New Balance,new balance,2,2020-02-06
10,sneakernews.com,2020-02-06 16:44:29.754273,2020-02-06,2020,2,6,Puma,Puma,0,2020-02-06
11,sneakernews.com,2020-02-06 16:44:29.757788,2020-02-06,2020,2,6,Puma,puma,2,2020-02-06
12,sneakernews.com,2020-02-06 16:44:29.761764,2020-02-06,2020,2,6,Vans,Vans,0,2020-02-06
13,sneakernews.com,2020-02-06 16:44:29.766459,2020-02-06,2020,2,6,Vans,vans,2,2020-02-06
0,Solecollector.com,2020-02-06 16:44:31.560555,2020-02-06,2020,2,6,Nike,nike,10,2020-02-06
1,Solecollector.com,2020-02-06 16:44:31.564028,2020-02-06,2020,2,6,Nike,jordan,4,2020-02-06
2,Solecollector.com,2020-02-06 16:44:31.568039,2020-02-06,2020,2,6,Nike,converse,0,2020-02-06
3,Solecollector.com,2020-02-06 16:44:31.571681,2020-02-06,2020,2,6,Adidas,adidas,1,2020-02-06
4,Solecollector.com,2020-02-06 16:44:31.575233,2020-02-06,2020,2,6,Adidas,reebok,1,2020-02-06
5,Solecollector.com,2020-02-06 16:44:31.578659,2020-02-06,2020,2,6,Adidas,adidas,1,2020-02-06
6,Solecollector.com,2020-02-06 16:44:31.582112,2020-02-06,2020,2,6,Adidas,kanye,0,2020-02-06
7,Solecollector.com,2020-02-06 16:44:31.585426,2020-02-06,2020,2,6,Adidas,yeezy,0,2020-02-06
8,Solecollector.com,2020-02-06 16:44:31.588816,2020-02-06,2020,2,6,New Balance,NB,0,2020-02-06
9,Solecollector.com,2020-02-06 16:44:31.592190,2020-02-06,2020,2,6,New Balance,new balance,0,2020-02-06
10,Solecollector.com,2020-02-06 16:44:31.595823,2020-02-06,2020,2,6,Puma,Puma,0,2020-02-06
11,Solecollector.com,2020-02-06 16:44:31.600873,2020-02-06,2020,2,6,Puma,puma,1,2020-02-06
12,Solecollector.com,2020-02-06 16:44:31.604481,2020-02-06,2020,2,6,Vans,Vans,0,2020-02-06
13,Solecollector.com,2020-02-06 16:44:31.607854,2020-02-06,2020,2,6,Vans,vans,0,2020-02-06
0,hypebeast.com,2020-02-06 16:44:33.588958,2020-02-06,2020,2,6,Nike,nike,7,2020-02-06
1,hypebeast.com,2020-02-06 16:44:33.593985,2020-02-06,2020,2,6,Nike,jordan,0,2020-02-06
2,hypebeast.com,2020-02-06 16:44:33.597628,2020-02-06,2020,2,6,Nike,converse,1,2020-02-06
3,hypebeast.com,2020-02-06 16:44:33.601717,2020-02-06,2020,2,6,Adidas,adidas,1,2020-02-06
4,hypebeast.com,2020-02-06 16:44:33.605182,2020-02-06,2020,2,6,Adidas,reebok,0,2020-02-06
5,hypebeast.com,2020-02-06 16:44:33.608803,2020-02-06,2020,2,6,Adidas,adidas,1,2020-02-06
6,hypebeast.com,2020-02-06 16:44:33.612167,2020-02-06,2020,2,6,Adidas,kanye,0,2020-02-06
7,hypebeast.com,2020-02-06 16:44:33.616028,2020-02-06,2020,2,6,Adidas,yeezy,0,2020-02-06
8,hypebeast.com,2020-02-06 16:44:33.619493,2020-02-06,2020,2,6,New Balance,NB,0,2020-02-06
9,hypebeast.com,2020-02-06 16:44:33.622981,2020-02-06,2020,2,6,New Balance,new balance,0,2020-02-06
10,hypebeast.com,2020-02-06 16:44:33.626723,2020-02-06,2020,2,6,Puma,Puma,0,2020-02-06
11,hypebeast.com,2020-02-06 16:44:33.630428,2020-02-06,2020,2,6,Puma,puma,1,2020-02-06
12,hypebeast.com,2020-02-06 16:44:33.634351,2020-02-06,2020,2,6,Vans,Vans,0,2020-02-06
13,hypebeast.com,2020-02-06 16:44:33.637719,2020-02-06,2020,2,6,Vans,vans,0,2020-02-06
